INPUT: [No Input Found] | OUTPUT: [1,0.60111749]
INPUT: [No Input Found] | OUTPUT: [1,0.59595162]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.54701453]
INPUT: [No Input Found] | OUTPUT: [1,0.26981384]
INPUT: [No Input Found] | OUTPUT: [1,0.61302364]
INPUT: [No Input Found] | OUTPUT: [-0.33171597,0]
INPUT: [No Input Found] | OUTPUT: [1,0.3158268]
INPUT: [No Input Found] | OUTPUT: [-1,0.07066907]
INPUT: [No Input Found] | OUTPUT: [1,0.019482553]
INPUT: [No Input Found] | OUTPUT: [-0.64560664,0]
INPUT: [No Input Found] | OUTPUT: [1,0.41944483]
INPUT: [No Input Found] | OUTPUT: [1,0.90645045]
INPUT: [No Input Found] | OUTPUT: [-0.67645323,0.26622877]
INPUT: [No Input Found] | OUTPUT: [1,0.69172573]
INPUT: [No Input Found] | OUTPUT: [-0.29122248,0.85162771]
INPUT: [No Input Found] | OUTPUT: [1,0.95133215]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.18335992]
INPUT: [No Input Found] | OUTPUT: [0.41701353,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.80277479,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.10247082]
INPUT: [No Input Found] | OUTPUT: [0.9007194,0.77615714]
INPUT: [No Input Found] | OUTPUT: [0.1957034,0.0051468462]
INPUT: [No Input Found] | OUTPUT: [0.64361745,0.67656165]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.3202022]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.1355617,0.28491083]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.5786587]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.53631192,0.060803145]
INPUT: [No Input Found] | OUTPUT: [1,0.4272981]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.38860309]
INPUT: [No Input Found] | OUTPUT: [0.41808718,0.00667274]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.73040444,0]
INPUT: [No Input Found] | OUTPUT: [1,0.24481471]
INPUT: [No Input Found] | OUTPUT: [1,0.27520794]
INPUT: [No Input Found] | OUTPUT: [1,0.50691748]
INPUT: [No Input Found] | OUTPUT: [1,0.64606673]
INPUT: [No Input Found] | OUTPUT: [1,0.25232536]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.3594135]
INPUT: [No Input Found] | OUTPUT: [1,0.24837305]
INPUT: [No Input Found] | OUTPUT: [0.9407239,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.55694765]
INPUT: [No Input Found] | OUTPUT: [0.84381866,0.019547857]
INPUT: [No Input Found] | OUTPUT: [0.67129564,0]
INPUT: [No Input Found] | OUTPUT: [-0.0042185709,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.45361173,0.29362473]
INPUT: [No Input Found] | OUTPUT: [0.99661565,0]
INPUT: [No Input Found] | OUTPUT: [1,0.50756645]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.57357979,0.75381559]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.79512405,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.57136226,0]
INPUT: [No Input Found] | OUTPUT: [1,0.23187916]
INPUT: [No Input Found] | OUTPUT: [1,0.67477727]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.96318722]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.42998248]
INPUT: [No Input Found] | OUTPUT: [-0.79770637,0.5074234]
INPUT: [No Input Found] | OUTPUT: [0.89766306,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.83120459]
INPUT: [No Input Found] | OUTPUT: [1,0.58718383]
INPUT: [No Input Found] | OUTPUT: [1,0.41176268]
INPUT: [No Input Found] | OUTPUT: [-0.85203248,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.45944363]
INPUT: [No Input Found] | OUTPUT: [1,0.90268332]
INPUT: [No Input Found] | OUTPUT: [1,0.88158309]
INPUT: [No Input Found] | OUTPUT: [0.66187918,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-1,0.80539596]
INPUT: [No Input Found] | OUTPUT: [1,0.34826893]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.6875267]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.4378975,0.42462599]
INPUT: [No Input Found] | OUTPUT: [0.087920487,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.35271022]
INPUT: [No Input Found] | OUTPUT: [1,0.33514556]
INPUT: [No Input Found] | OUTPUT: [1,0.39699322]
INPUT: [No Input Found] | OUTPUT: [-0.35281286,0]
INPUT: [No Input Found] | OUTPUT: [1,0.36923185]
INPUT: [No Input Found] | OUTPUT: [1,0.4218047]
INPUT: [No Input Found] | OUTPUT: [1,0.2589545]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.87183195,0]
INPUT: [No Input Found] | OUTPUT: [1,0.82306451]
INPUT: [No Input Found] | OUTPUT: [1,0.15686226]
INPUT: [No Input Found] | OUTPUT: [1,0.71066713]
INPUT: [No Input Found] | OUTPUT: [1,0.69462842]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.090960383]
INPUT: [No Input Found] | OUTPUT: [1,0.43312702]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.89861029,0]
INPUT: [No Input Found] | OUTPUT: [0.12776221,0.37713519]
INPUT: [No Input Found] | OUTPUT: [1,0.2162846]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.97133166,1]
INPUT: [No Input Found] | OUTPUT: [-1,0.83738559]
INPUT: [No Input Found] | OUTPUT: [1,0.32280177]
INPUT: [No Input Found] | OUTPUT: [1,0.76850945]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.041747402,0.39882594]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.70235485]
INPUT: [No Input Found] | OUTPUT: [1,0.5099355]
INPUT: [No Input Found] | OUTPUT: [0.59855902,0.56269604]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.6103884,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.30904922]
INPUT: [No Input Found] | OUTPUT: [1,0.33817837]
INPUT: [No Input Found] | OUTPUT: [1,0.73025674]
INPUT: [No Input Found] | OUTPUT: [1,0.2540637]
INPUT: [No Input Found] | OUTPUT: [1,0.14542858]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.47095186]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.081270024,0]
INPUT: [No Input Found] | OUTPUT: [0.83328056,0.31875876]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.79418635,0.86316645]
INPUT: [No Input Found] | OUTPUT: [-0.79200083,0.97633541]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.069856025]
INPUT: [No Input Found] | OUTPUT: [1,0.9429704]
INPUT: [No Input Found] | OUTPUT: [0.11047377,0.78709376]
INPUT: [No Input Found] | OUTPUT: [1,0.62722027]
INPUT: [No Input Found] | OUTPUT: [1,0.29069769]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.76397586]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.24058144,0]
INPUT: [No Input Found] | OUTPUT: [1,0.57188278]
INPUT: [No Input Found] | OUTPUT: [1,0.88332832]
INPUT: [No Input Found] | OUTPUT: [0.67966503,0.36224481]
INPUT: [No Input Found] | OUTPUT: [1,0.93317938]
INPUT: [No Input Found] | OUTPUT: [0.17444506,0]
INPUT: [No Input Found] | OUTPUT: [1,0.52022213]
INPUT: [No Input Found] | OUTPUT: [1,0.70684385]
INPUT: [No Input Found] | OUTPUT: [1,0.73952389]
INPUT: [No Input Found] | OUTPUT: [1,0.29922709]
INPUT: [No Input Found] | OUTPUT: [0.84573263,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.59731042]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.91602486]
INPUT: [No Input Found] | OUTPUT: [1,0.37840739]
INPUT: [No Input Found] | OUTPUT: [1,0.24812429]
INPUT: [No Input Found] | OUTPUT: [1,0.48017794]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.23565623,0.24366471]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.53127807]
INPUT: [No Input Found] | OUTPUT: [0.82105654,1]
INPUT: [No Input Found] | OUTPUT: [0.90703189,0.47985268]
INPUT: [No Input Found] | OUTPUT: [1,0.29310092]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.18490839]
INPUT: [No Input Found] | OUTPUT: [1,0.41252068]
INPUT: [No Input Found] | OUTPUT: [0.29740387,0.025945976]
INPUT: [No Input Found] | OUTPUT: [1,0.3674826]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.71098042]
INPUT: [No Input Found] | OUTPUT: [1,0.79113668]
INPUT: [No Input Found] | OUTPUT: [1,0.47868258]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.3427881]
INPUT: [No Input Found] | OUTPUT: [1,0.83382267]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.71365005]
INPUT: [No Input Found] | OUTPUT: [1,0.10333917]
INPUT: [No Input Found] | OUTPUT: [1,0.87857026]
INPUT: [No Input Found] | OUTPUT: [0.014778145,0]
INPUT: [No Input Found] | OUTPUT: [1,0.62032336]
INPUT: [No Input Found] | OUTPUT: [0.29629126,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.85195744]
INPUT: [No Input Found] | OUTPUT: [-0.36725247,0.62368238]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.6026963]
INPUT: [No Input Found] | OUTPUT: [1,0.19731638]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.75800157,0.46810386]
INPUT: [No Input Found] | OUTPUT: [-0.55623752,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.37757182,0]
INPUT: [No Input Found] | OUTPUT: [1,0.18364325]
INPUT: [No Input Found] | OUTPUT: [0.11971542,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.8299787,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.8278355]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.26811177,0]
INPUT: [No Input Found] | OUTPUT: [1,0.5498324]
INPUT: [No Input Found] | OUTPUT: [1,0.27214992]
INPUT: [No Input Found] | OUTPUT: [1,0.46265924]
INPUT: [No Input Found] | OUTPUT: [1,0.74214315]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.69207799]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.034553587]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.93529123,0.15080023]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.73366553]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.25922123,0.43432385]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.51668739]
INPUT: [No Input Found] | OUTPUT: [1,0.28326336]
INPUT: [No Input Found] | OUTPUT: [-0.32831001,0.54573303]
INPUT: [No Input Found] | OUTPUT: [1,0.38035882]
INPUT: [No Input Found] | OUTPUT: [1,0.36790571]
INPUT: [No Input Found] | OUTPUT: [1,0.226522]
INPUT: [No Input Found] | OUTPUT: [1,0.22846133]
INPUT: [No Input Found] | OUTPUT: [1,0.27034318]
INPUT: [No Input Found] | OUTPUT: [1,0.38389039]
INPUT: [No Input Found] | OUTPUT: [1,0.51192784]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.089562573,0.1662136]
INPUT: [No Input Found] | OUTPUT: [1,0.4332487]
INPUT: [No Input Found] | OUTPUT: [-0.082226366,0.4192614]
INPUT: [No Input Found] | OUTPUT: [-0.82508999,0.80018985]
INPUT: [No Input Found] | OUTPUT: [0.24921249,1]
INPUT: [No Input Found] | OUTPUT: [1,0.14221302]
INPUT: [No Input Found] | OUTPUT: [1,0.54507965]
INPUT: [No Input Found] | OUTPUT: [1,0.85616034]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.11604503,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.93128347]
INPUT: [No Input Found] | OUTPUT: [1,0.015264779]
INPUT: [No Input Found] | OUTPUT: [0.8552748,0.49228615]
INPUT: [No Input Found] | OUTPUT: [1,0.23636287]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.11935519]
INPUT: [No Input Found] | OUTPUT: [0.88145578,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.19296458]
INPUT: [No Input Found] | OUTPUT: [0.94560051,0.19100308]
INPUT: [No Input Found] | OUTPUT: [1,0.32299623]
INPUT: [No Input Found] | OUTPUT: [-1,0.26873845]
INPUT: [No Input Found] | OUTPUT: [0.98691404,0]
INPUT: [No Input Found] | OUTPUT: [0.40996569,1]
INPUT: [No Input Found] | OUTPUT: [-0.16003564,1]
INPUT: [No Input Found] | OUTPUT: [0.090934232,0]
INPUT: [No Input Found] | OUTPUT: [-1,0]
INPUT: [No Input Found] | OUTPUT: [0.58922452,0]
INPUT: [No Input Found] | OUTPUT: [1,0.14864588]
INPUT: [No Input Found] | OUTPUT: [0.98149443,0.9420411]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.81325406,0]
INPUT: [No Input Found] | OUTPUT: [1,0.57274622]
INPUT: [No Input Found] | OUTPUT: [0.81812274,0]
INPUT: [No Input Found] | OUTPUT: [1,0.029814273]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.038768776,0.74014682]
INPUT: [No Input Found] | OUTPUT: [1,0.64684248]
INPUT: [No Input Found] | OUTPUT: [0.86777127,0.08108221]
INPUT: [No Input Found] | OUTPUT: [1,0.73377591]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.61141962,0.57347441]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.23346734,0.6255129]
INPUT: [No Input Found] | OUTPUT: [-0.83606094,0.47965419]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.083261728]
INPUT: [No Input Found] | OUTPUT: [1,0.021708667]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.82003677]
INPUT: [No Input Found] | OUTPUT: [1,0.22901174]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.49399981]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.95743018]
INPUT: [No Input Found] | OUTPUT: [0.38161409,0.088859737]
INPUT: [No Input Found] | OUTPUT: [1,0.36928967]
INPUT: [No Input Found] | OUTPUT: [0.68352222,0]
INPUT: [No Input Found] | OUTPUT: [-0.14325884,0.96997684]
INPUT: [No Input Found] | OUTPUT: [1,0.0078582168]
INPUT: [No Input Found] | OUTPUT: [-1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.36816531]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.073209316]
INPUT: [No Input Found] | OUTPUT: [-0.27021059,0.63858241]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.16118489]
INPUT: [No Input Found] | OUTPUT: [1,0.69255525]
INPUT: [No Input Found] | OUTPUT: [0.26739398,0]
INPUT: [No Input Found] | OUTPUT: [1,0.27395177]
INPUT: [No Input Found] | OUTPUT: [1,0.02225963]
INPUT: [No Input Found] | OUTPUT: [1,0.65240991]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.71513772,0]
INPUT: [No Input Found] | OUTPUT: [1,0.88841474]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.0019918382,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.59946012,0.48119527]
INPUT: [No Input Found] | OUTPUT: [-0.27357444,0.30624354]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.55340564,0.73860896]
INPUT: [No Input Found] | OUTPUT: [1,0.08083111]
INPUT: [No Input Found] | OUTPUT: [1,0.56010127]
INPUT: [No Input Found] | OUTPUT: [1,0.22228426]
INPUT: [No Input Found] | OUTPUT: [1,0.20459546]
INPUT: [No Input Found] | OUTPUT: [0.12304746,0.47391275]
INPUT: [No Input Found] | OUTPUT: [-0.42173719,0.10586116]
INPUT: [No Input Found] | OUTPUT: [1,0.26574567]
INPUT: [No Input Found] | OUTPUT: [0.26870635,0]
INPUT: [No Input Found] | OUTPUT: [0.0879815,0]
INPUT: [No Input Found] | OUTPUT: [1,0.38885772]
INPUT: [No Input Found] | OUTPUT: [1,0.91841137]
INPUT: [No Input Found] | OUTPUT: [0.5993939,1]
INPUT: [No Input Found] | OUTPUT: [1,0.9194659]
INPUT: [No Input Found] | OUTPUT: [-1,0.84551954]
INPUT: [No Input Found] | OUTPUT: [1,0.2207243]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.6310885]
INPUT: [No Input Found] | OUTPUT: [1,0.66601378]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.46498215]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.21401495]
INPUT: [No Input Found] | OUTPUT: [1,0.6642195]
INPUT: [No Input Found] | OUTPUT: [0.32000121,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.56334835]
INPUT: [No Input Found] | OUTPUT: [1,0.32054168]
INPUT: [No Input Found] | OUTPUT: [1,0.65767658]
INPUT: [No Input Found] | OUTPUT: [-0.89337277,1]
INPUT: [No Input Found] | OUTPUT: [1,0.44975284]
INPUT: [No Input Found] | OUTPUT: [1,0.68741101]
INPUT: [No Input Found] | OUTPUT: [1,0.46895748]
INPUT: [No Input Found] | OUTPUT: [-0.87722242,0.89682823]
INPUT: [No Input Found] | OUTPUT: [-0.68224865,0.93849462]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.3204526]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.7883215]
INPUT: [No Input Found] | OUTPUT: [1,0.78391433]
INPUT: [No Input Found] | OUTPUT: [1,0.11551782]
INPUT: [No Input Found] | OUTPUT: [1,0.049508035]
INPUT: [No Input Found] | OUTPUT: [1,0.57062608]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.75195557,0]
INPUT: [No Input Found] | OUTPUT: [1,0.78516525]
INPUT: [No Input Found] | OUTPUT: [0.92609733,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.67414737,0.17791195]
INPUT: [No Input Found] | OUTPUT: [1,0.61580884]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.88668942,0.33501542]
INPUT: [No Input Found] | OUTPUT: [1,0.61582494]
INPUT: [No Input Found] | OUTPUT: [1,0.16368565]
INPUT: [No Input Found] | OUTPUT: [1,0.8347016]
INPUT: [No Input Found] | OUTPUT: [1,0.62609726]
INPUT: [No Input Found] | OUTPUT: [1,0.60294366]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.017906338]
INPUT: [No Input Found] | OUTPUT: [1,0.10121591]
INPUT: [No Input Found] | OUTPUT: [1,0.6824578]
INPUT: [No Input Found] | OUTPUT: [1,0.52973419]
INPUT: [No Input Found] | OUTPUT: [1,0.023677871]
INPUT: [No Input Found] | OUTPUT: [1,0.55402327]
INPUT: [No Input Found] | OUTPUT: [1,0.31798646]
INPUT: [No Input Found] | OUTPUT: [1,0.43771148]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.99121535,0]
INPUT: [No Input Found] | OUTPUT: [0.42034414,0.12776382]
INPUT: [No Input Found] | OUTPUT: [1,0.75618237]
INPUT: [No Input Found] | OUTPUT: [0.6616835,1]
INPUT: [No Input Found] | OUTPUT: [-0.33204532,1]
INPUT: [No Input Found] | OUTPUT: [0.36085996,0]
INPUT: [No Input Found] | OUTPUT: [1,0.13847873]
INPUT: [No Input Found] | OUTPUT: [1,0.58206427]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.74612117,0]
INPUT: [No Input Found] | OUTPUT: [1,0.063668169]
INPUT: [No Input Found] | OUTPUT: [1,0.51826406]
INPUT: [No Input Found] | OUTPUT: [1,0.43170154]
INPUT: [No Input Found] | OUTPUT: [1,0.021669477]
INPUT: [No Input Found] | OUTPUT: [-0.036670111,0.0085442364]
INPUT: [No Input Found] | OUTPUT: [1,0.061683759]
INPUT: [No Input Found] | OUTPUT: [1,0.38761297]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.40094697]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.43212235,0]
INPUT: [No Input Found] | OUTPUT: [0.69087392,0.43334323]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.62731433]
INPUT: [No Input Found] | OUTPUT: [-0.7415247,0.75457168]
INPUT: [No Input Found] | OUTPUT: [0.86839908,0]
INPUT: [No Input Found] | OUTPUT: [1,0.042454094]
INPUT: [No Input Found] | OUTPUT: [1,0.81461853]
INPUT: [No Input Found] | OUTPUT: [1,0.16695091]
INPUT: [No Input Found] | OUTPUT: [-0.29196984,0]
INPUT: [No Input Found] | OUTPUT: [1,0.19596919]
INPUT: [No Input Found] | OUTPUT: [0.35909209,0.34675008]
INPUT: [No Input Found] | OUTPUT: [1,0.18442321]
INPUT: [No Input Found] | OUTPUT: [1,0.45109361]
INPUT: [No Input Found] | OUTPUT: [0.83077741,0.76921827]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.5284909,0.32665783]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.77170128,0.88595122]
INPUT: [No Input Found] | OUTPUT: [0.73048735,0]
INPUT: [No Input Found] | OUTPUT: [1,0.45113656]
INPUT: [No Input Found] | OUTPUT: [1,0.46387589]
INPUT: [No Input Found] | OUTPUT: [0.98759186,0]
INPUT: [No Input Found] | OUTPUT: [-0.24001953,0.17141783]
INPUT: [No Input Found] | OUTPUT: [0.76259106,0.38957313]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.70582092,0.30961895]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-1,0.86092693]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.37577999]
INPUT: [No Input Found] | OUTPUT: [1,0.35629144]
INPUT: [No Input Found] | OUTPUT: [1,0.98226506]
